Environment,RIT*,Informed RRT*,BIT*,AIT*,EIT*,APT*
2D Maze,4.7047 ± 0.0606,4.6689 ± 0.0322,4.6469 ± 0.0035,5.6900 ± 0.1814,5.7276 ± 0.1438,4.6899 ± 0.0306
2D Narrow,1.6096 ± 0.0000,1.6205 ± 0.0011,1.6129 ± 0.0000,1.6804 ± 0.0533,1.7063 ± 0.0666,1.6391 ± 0.0043
2D Forest,1.9335 ± 0.0012,1.7245 ± 0.0015,1.7140 ± 0.0001,1.8431 ± 0.0286,1.8727 ± 0.0592,1.7459 ± 0.0036
2D Terrain,1.9795 ± 0.0066,1.6532 ± 0.0002,1.6182 ± 0.0013,1.7901 ± 0.0315,1.8583 ± 0.0030,1.7959 ± 0.0061
2D Bug Trap,1.7564 ± 0.0040,1.7708 ± 0.0006,1.7511 ± 0.0008,1.9313 ± 0.0181,1.9500 ± 0.0097,1.7659 ± 0.0035
2D Hyper-Dense,2.3200 ± 0.1281,1.9335 ± 0.0016,1.9286 ± 0.0003,1.9978 ± 0.0065,2.0006 ± 0.0092,1.9341 ± 0.0011
3D Spheres,3.1443 ± 0.0984,3.1376 ± 0.0080,2.9818 ± 0.0020,3.2731 ± 0.0429,3.2085 ± 0.0409,3.3091 ± 0.0391
3D Dense Lab,4.7098 ± 0.1117,3.9377 ± 0.0045,3.8361 ± 0.0004,4.1061 ± 0.0752,4.1565 ± 0.0398,4.1338 ± 0.0317
3D Corridor,2.8896 ± 0.0034,3.0775 ± 0.0242,3.0369 ± 0.0366,3.3058 ± 0.0588,3.5178 ± 0.1126,3.3421 ± 0.1088
3D Gauntlet,4.1270 ± 0.0121,4.3226 ± 0.0183,4.1331 ± 0.0032,4.6546 ± 0.0144,4.8180 ± 0.0356,4.4495 ± 0.0642
6D Hyper-Passage,no sol.,no sol.,no sol.,no sol.,no sol.,no sol.
6D Tabletop,1.2786 ± 0.0000,1.2786 ± 0.0000,1.2786 ± 0.0000,1.2786 ± 0.0000,1.2786 ± 0.0000,1.2786 ± 0.0000
6D Shelf,1.0726 ± 0.0042,1.2070 ± 0.0532,1.1444 ± 0.0231,1.1444 ± 0.0231,1.1444 ± 0.0231,1.9464 ± 0.6479
6D Cluttered,2.0480 ± 0.0201,2.3659 ± 0.0644,2.1307 ± 0.1171,2.1035 ± 0.0899,2.1035 ± 0.0899,2.4588 ± 0.0156
