Environment,RIT*,Informed RRT*,BIT*,AIT*,EIT*,APT*
2D Maze,-0.77%,+0.00%,+0.47%,-21.87%,-22.68%,-0.45%
2D Narrow,+0.67%,+0.00%,+0.47%,-3.69%,-5.29%,-1.14%
2D Forest,-12.12%,+0.00%,+0.61%,-6.88%,-8.59%,-1.24%
2D Terrain,-19.74%,+0.00%,+2.12%,-8.28%,-12.41%,-8.63%
2D Bug Trap,+0.81%,+0.00%,+1.11%,-9.07%,-10.12%,+0.28%
2D Hyper-Dense,-19.99%,+0.00%,+0.25%,-3.32%,-3.47%,-0.03%
3D Spheres,-0.21%,+0.00%,+4.97%,-4.32%,-2.26%,-5.47%
3D Dense Lab,-19.61%,+0.00%,+2.58%,-4.28%,-5.56%,-4.98%
3D Corridor,+6.11%,+0.00%,+1.32%,-7.42%,-14.31%,-8.60%
3D Gauntlet,+4.52%,+0.00%,+4.38%,-7.68%,-11.46%,-2.94%
6D Hyper-Passage,n/a,n/a,n/a,n/a,n/a,n/a
6D Tabletop,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%,+0.00%
6D Shelf,+11.14%,+0.00%,+5.19%,+5.19%,+5.19%,-61.26%
6D Cluttered,+13.44%,+0.00%,+9.94%,+11.09%,+11.09%,-3.93%
