Environment,Informed RRT*,BIT*,AIT*,EIT*,APT*
2D Maze,0.6667,0.6667,0.3333,0.3333,1.0000
2D Narrow,0.3333,0.3333,0.3333,0.3333,0.3333
2D Forest,0.3333,0.3333,0.3333,0.3333,0.3333
2D Terrain,0.3333,0.3333,0.3333,0.3333,0.3333
2D Bug Trap,0.3333,0.3333,0.3333,0.3333,0.3333
2D Hyper-Dense,0.3333,0.3333,0.3333,0.3333,0.3333
3D Spheres,1.0000,0.3333,0.6667,0.6667,0.3333
3D Dense Lab,0.3333,0.3333,0.3333,0.3333,0.3333
3D Corridor,0.3333,0.3333,0.3333,0.3333,0.3333
3D Gauntlet,0.3333,1.0000,0.3333,0.3333,0.3333
6D Hyper-Passage,n/a,n/a,n/a,n/a,n/a
6D Tabletop,1.0000,1.0000,1.0000,1.0000,1.0000
6D Shelf,0.3333,0.3333,0.3333,0.3333,0.3333
6D Cluttered,0.3333,1.0000,1.0000,1.0000,0.3333
