Environment,RIT*,Informed RRT*,BIT*,AIT*,EIT*,APT*
2D Maze,100%,100%,100%,100%,100%,100%
2D Narrow,100%,100%,100%,100%,100%,100%
2D Forest,100%,100%,100%,100%,100%,100%
2D Terrain,100%,100%,100%,100%,100%,100%
2D Bug Trap,100%,100%,100%,100%,100%,100%
2D Hyper-Dense,100%,100%,100%,100%,100%,100%
3D Spheres,100%,100%,100%,100%,100%,100%
3D Dense Lab,100%,100%,100%,100%,100%,100%
3D Corridor,100%,100%,100%,100%,100%,100%
3D Gauntlet,100%,100%,100%,100%,100%,100%
6D Hyper-Passage,0%,0%,0%,0%,0%,0%
6D Tabletop,100%,100%,100%,100%,100%,100%
6D Shelf,100%,100%,100%,100%,100%,100%
6D Cluttered,100%,100%,100%,100%,100%,100%
