Environment,RIT*,Informed RRT*,BIT*,AIT*,EIT*,APT*
2D Maze,6.70 ± 2.11,55.40 ± 1.42,274.73 ± 0.98,7.78 ± 0.10,5.59 ± 0.04,56.35 ± 0.88
2D Narrow,1.29 ± 0.21,4.02 ± 0.01,15.91 ± 0.30,4.09 ± 0.02,4.86 ± 0.07,4.02 ± 0.00
2D Forest,0.88 ± 0.17,36.89 ± 1.36,306.38 ± 6.65,8.20 ± 0.05,8.06 ± 0.15,46.02 ± 0.54
2D Terrain,0.60 ± 0.09,20.56 ± 0.68,155.47 ± 2.14,6.00 ± 0.38,7.35 ± 0.17,26.96 ± 1.56
2D Bug Trap,0.96 ± 0.35,18.27 ± 0.00,210.05 ± 5.03,5.30 ± 0.10,2.69 ± 0.54,15.36 ± 1.18
2D Hyper-Dense,1.62 ± 0.00,61.81 ± 0.49,305.27 ± 0.35,8.22 ± 0.13,8.22 ± 0.21,67.37 ± 0.33
3D Spheres,1.66 ± 0.09,26.30 ± 0.11,78.36 ± 1.59,2.96 ± 0.20,3.50 ± 0.03,22.25 ± 0.48
3D Dense Lab,1.66 ± 0.55,27.54 ± 0.35,89.06 ± 2.59,3.99 ± 0.03,4.23 ± 0.09,32.27 ± 1.98
3D Corridor,5.34 ± 2.00,6.06 ± 0.10,12.60 ± 0.32,4.20 ± 0.13,4.80 ± 0.23,6.86 ± 0.35
3D Gauntlet,31.44 ± 2.96,38.49 ± 0.70,78.56 ± 0.83,5.09 ± 0.09,5.92 ± 0.05,38.54 ± 0.20
6D Hyper-Passage,11.81 ± 1.86,2.44 ± 0.09,15.84 ± 0.42,1.92 ± 0.08,1.94 ± 0.08,2.44 ± 0.09
6D Tabletop,0.18 ± 0.00,38.03 ± 0.02,1.23 ± 0.01,2.16 ± 0.00,1.12 ± 0.00,36.12 ± 0.02
6D Shelf,5.75 ± 0.46,39.86 ± 11.04,1.69 ± 0.17,129.59 ± 1.06,110.58 ± 16.66,38.03 ± 4.77
6D Cluttered,3.91 ± 1.09,4.93 ± 1.93,1.43 ± 0.00,1.83 ± 0.17,1.82 ± 0.16,18.40 ± 2.86
