Environment,Planner,Trial,Final Cost,Time (s),Samples
2D Maze,RIT*,1,4.683289,2.5331,7400
2D Narrow,RIT*,1,1.607349,0.4493,3200
2D Forest,RIT*,1,2.056107,0.4602,3200
2D Terrain,RIT*,1,1.984014,1.2456,6800
2D Bug Trap,RIT*,1,1.762605,1.2712,10700
2D Hyper-Dense,RIT*,1,2.489010,0.6893,2900
3D Spheres,RIT*,1,3.201637,1.4920,6900
3D Dense Lab,RIT*,1,4.591694,0.8211,5200
3D Corridor,RIT*,1,2.970598,1.5240,5900
3D Gauntlet,RIT*,1,4.165975,14.7584,12300
6D Hyper-Passage,RIT*,1,2.722939,12.9392,15000
6D Tabletop,RIT*,1,1.278615,0.1945,5700
6D Shelf,RIT*,1,1.069167,1.6539,9100
6D Cluttered,RIT*,1,2.045840,2.4453,12600
